<CodeClassTranslate>
Type,CodeClass,Analyte,ControlType,ClassActive
dsp,DSP,dsp,,3
ps,Positive,Control,ERCC,3
ps,Negative,Control,ERCC,3
ps,Purification,Control,Hyb_Independent,1
ps,Endogenous1s,mRNA,,2
ps,Housekeeping1s,Control,Housekeeping,2
ps,Endogenous2s,mRNA,,2
ps,Housekeeping2s,Control,Housekeeping,2
ps,Endogenous3s,mRNA,,2
ps,Housekeeping3s,Control,Housekeeping,2
ps,Endogenous4s,mRNA,,2
ps,Housekeeping4s,Control,Housekeeping,2
ps,Endogenous5s,mRNA,,2
ps,Housekeeping5s,Control,Housekeeping,2
ps,Endogenous6s,mRNA,,2
ps,Housekeeping6s,Control,Housekeeping,2
ps,Endogenous7s,mRNA,,2
ps,Housekeeping7s,Control,Housekeeping,2
ps,Endogenous8s,mRNA,,2
ps,Housekeeping8s,Control,Housekeeping,2
ps,Reserved,,,1
ps,Extended,,,1
miRNA,Positive,Control,ERCC,3
miRNA,Negative,Control,ERCC,3
miRNA,Purification,Control,Hyb_Independent,1
miRNA,Binding,Control,Hyb_Independent,1
miRNA,Ligation,Control,Ligation,3
miRNA,Endogenous1,miRNA,,2
miRNA,Housekeeping,Control,Housekeeping,3
miRNA,SpikeIn,Control,SpikeIn,2
miRNA,Reserved,,,1
miRNA,Extended,,,1
miRGE,Positive1,Control,ERCC,3
miRGE,Positive2,Control,Ligation,3
miRGE,Negative,Control,ERCC,3
miRGE,Purification,Control,Hyb_Independent,1
miRGE,Binding,Control,Hyb_Independent,1
miRGE,Endogenous1,mRNA,,2
miRGE,Endogenous2,miRNA,,2
miRGE,Housekeeping,Control,Housekeeping,2
miRGE,Reserved,,,1
miRGE,Extended,,,1
DNA,Positive,Control,ERCC,3
DNA,Negative,Control,ERCC,3
DNA,Purification,Control,Hyb_Independent,1
DNA,Binding,Control,Hyb_Independent,1
DNA,RestrictionSite,Control,Restriction,3
DNA,Endogenous,DNA,,2
DNA,Invariant,Control,Invariant,3
DNA,Housekeeping,Control,ChIPControl,2
DNA,Reserved,,,1
DNA,Extended,,,1
3D,Positive,Control,ERCC,3
3D,Negative,Control,ERCC,3
3D,Purification,Control,Hyb_Independent,1
3D,Binding,Control,Hyb_Independent,1
3D,Endogenous,mRNA,,2
3D,Housekeeping,Control,Housekeeping,2
3D,Protein_NEG,Control,PROTEIN_NEG,3
3D,PROTEIN_NEG,Control,PROTEIN_NEG,3
3D,Protein_Cell_Norm,Control,PROTEIN_CELL_NORM,3
3D,PROTEIN_CELL_NORM,Control,PROTEIN_CELL_NORM,3
3D,Protein,Protein,,2
3D,PROTEIN,Protein,,2
3D,snv_input_ctl,Control,SNV,3
3D,snv_pcr_ctl,Control,SNV,3
3D,snv_udg_ctl,Control,SNV,3
3D,snv_pos,Control,SNV,3
3D,snv_neg,Control,SNV,3
3D,snv_var,DNA,,3
3D,snv_ref,DNA,,3
3D,Reserved,,,1
3D,Extended,,,1
</CodeClassTranslate>
